# Resolved pools list by minerstat for msOS
# Updated Mon Dec 19 14:00:37 UTC 2022
# ip,fqdn
15.197.142.173 1stpool.org
104.26.4.192 2miners.com
95.217.197.180 51pool.online
162.19.139.120 ae.2miners.com
188.165.198.144 aeon.miner.rocks
18.119.154.66 aeon.minercountry.com
198.50.168.213 aergo.eu.mine.zpool.ca
198.50.168.213 aergo.jp.mine.zpool.ca
198.50.168.213 aergo.na.mine.zpool.ca
193.70.84.182 ahamay.net
37.26.136.250 aikapool.com
144.76.40.59 aionmine.org
162.19.139.120 aka.2miners.com
192.99.244.230 akroma.wattpool.net
51.79.251.11 allium.asia.mine.zergpool.com
198.50.168.213 allium.eu.mine.zpool.ca
198.50.168.213 allium.jp.mine.zpool.ca
103.249.70.7 allium.mine.zergpool.com
198.50.168.213 allium.na.mine.zpool.ca
193.70.35.154 americas.blake2s.mining-dutch.nl
51.178.179.75 americas.c11.mining-dutch.nl
193.70.35.154 americas.cryptonight.mining-dutch.nl
192.95.53.35 americas.equihash.mining-dutch.nl
193.70.35.154 americas.groestl.mining-dutch.nl
51.178.179.75 americas.kawpow.mining-dutch.nl
193.70.35.154 americas.keccak.mining-dutch.nl
193.70.35.154 americas.lyra2rev2.mining-dutch.nl
193.70.35.154 americas.lyra2rev3.mining-dutch.nl
193.70.35.154 americas.lyra2z.mining-dutch.nl
193.70.35.154 americas.myrgro.mining-dutch.nl
217.182.245.83 americas.neoscrypt.mining-dutch.nl
193.70.35.154 americas.nist5.mining-dutch.nl
193.70.35.154 americas.quark.mining-dutch.nl
193.70.35.154 americas.qubit.mining-dutch.nl
193.70.35.157 americas.scrypt.mining-dutch.nl
192.95.53.33 americas.sha256.mining-dutch.nl
193.70.35.154 americas.skein.mining-dutch.nl
51.178.179.75 americas.tribus.mining-dutch.nl
217.182.245.83 americas.x11.mining-dutch.nl
193.70.35.154 americas.x11gost.mining-dutch.nl
51.178.179.75 americas.x13bcd.mining-dutch.nl
51.178.179.75 americas.x16r.mining-dutch.nl
51.178.179.75 americas.x16s.mining-dutch.nl
51.178.179.75 americas.x17.mining-dutch.nl
51.178.179.75 americas.yescrypt.mining-dutch.nl
51.178.179.75 americas.yescryptr16.mining-dutch.nl
51.178.179.75 americas.yescryptr32.mining-dutch.nl
51.178.179.75 americas.yespower.mining-dutch.nl
51.178.179.75 americas.yespowerr16.mining-dutch.nl
51.158.186.32 amsterdam.hub.semipool.com
162.19.139.181 anon.2miners.com
54.36.51.140 anon.altpool.pro
172.104.181.35 ap-01.miningrigrentals.com
18.141.233.133 ap-nodes.mainnet.beam.mw
139.99.123.225 ap.luckpool.net
18.139.215.152 ap.nimpool.io
51.178.17.230 api.bsod.pw
198.50.168.213 arctichash.na.mine.zpool.ca
3.94.41.167 argon2.minercountry.com
51.79.251.11 argon2d-dyn.asia.mine.zergpool.com
141.95.55.97 argon2d-dyn.eu.mine.zergpool.com
198.50.168.213 argon2d-dyn.eu.mine.zpool.ca
198.50.168.213 argon2d-dyn.jp.mine.zpool.ca
103.249.70.7 argon2d-dyn.mine.zergpool.com
149.56.111.148 argon2d-dyn.na.mine.zergpool.com
198.50.168.213 argon2d-dyn.na.mine.zpool.ca
51.79.251.11 argon2d250.asia.mine.zergpool.com
141.95.55.97 argon2d250.eu.mine.zergpool.com
103.249.70.7 argon2d250.mine.zergpool.com
51.79.251.11 argon2d4096.asia.mine.zergpool.com
141.95.55.97 argon2d4096.eu.mine.zergpool.com
198.50.168.213 argon2d4096.eu.mine.zpool.ca
103.249.70.7 argon2d4096.mine.zergpool.com
198.50.168.213 argon2d4096.na.mine.zpool.ca
198.50.168.213 argon2d500.eu.mine.zpool.ca
198.50.168.213 argon2d500.na.mine.zpool.ca
108.61.205.5 arms01.p2poolmining.us
46.37.58.143 arq.pool.gntl.co.uk
198.100.144.29 arrow.dapool.io
35.202.11.182 arrr-eu.luxor.tech
35.202.11.182 arrr-us.luxor.tech
34.107.188.7 arrr.luxor.tech
99.83.154.118 arw.snowmining.com
52.223.53.16 as1-zil.shardpool.io
162.19.139.120 asia-ae.2miners.com
51.79.229.21 asia-beam.2miners.com
139.99.123.157 asia-btg.2miners.com
51.79.229.21 asia-ckb.2miners.com
162.19.139.120 asia-clo.2miners.com
51.79.229.232 asia-etc.2miners.com
51.195.88.15 asia-eth.2miners.com
162.19.139.184 asia-grin.2miners.com
45.63.100.240 asia-pool.raskul.com
51.79.229.21 asia-rvn.2miners.com
162.19.139.120 asia-solo-ae.2miners.com
51.79.229.21 asia-solo-btg.2miners.com
51.79.229.232 asia-solo-etc.2miners.com
51.195.88.16 asia-solo-eth.2miners.com
51.79.229.21 asia-solo-rvn.2miners.com
139.99.49.249 asia-xzc.2miners.com
139.99.123.157 asia-zec.2miners.com
168.119.146.54 asia.aionpool.tech
139.99.51.160 asia.blake2s.mining-dutch.nl
139.99.97.21 asia.bsod.pw
139.99.51.163 asia.c11.mining-dutch.nl
45.77.150.66 asia.cryptonight-hub.miningpoolhub.com
139.99.51.162 asia.cryptonight.mining-dutch.nl
66.42.40.195 asia.equihash-hub.miningpoolhub.com
139.99.51.163 asia.equihash.mining-dutch.nl
15.235.160.187 asia.equihub.pro
45.77.150.66 asia.ethash-hub.miningpoolhub.com
103.224.212.219 asia.expmine.pro
51.79.176.93 asia.ezil.me
104.238.150.114 asia.frostypool.com
139.99.51.160 asia.groestl.mining-dutch.nl
66.42.40.195 asia.kawpow-hub.miningpoolhub.com
139.99.51.160 asia.keccak.mining-dutch.nl
139.99.51.160 asia.lyra2rev2.mining-dutch.nl
139.99.51.160 asia.lyra2rev3.mining-dutch.nl
139.99.51.160 asia.lyra2z.mining-dutch.nl
194.233.71.75 asia.mecrypto.club
139.99.51.160 asia.myrgro.mining-dutch.nl
139.99.51.161 asia.neoscrypt.mining-dutch.nl
139.99.51.160 asia.nist5.mining-dutch.nl
139.99.51.163 asia.phi2.mining-dutch.nl
139.99.51.160 asia.quark.mining-dutch.nl
139.99.51.160 asia.qubit.mining-dutch.nl
45.77.150.66 asia.randomx-hub.miningpoolhub.com
130.162.153.207 asia.ravenminer.com
139.99.51.162 asia.scrypt.mining-dutch.nl
139.99.51.161 asia.sha256.mining-dutch.nl
172.104.84.180 asia.siamining.com
139.99.51.160 asia.skein.mining-dutch.nl
139.99.51.163 asia.tribus.mining-dutch.nl
139.99.51.161 asia.x11.mining-dutch.nl
139.99.51.160 asia.x11gost.mining-dutch.nl
139.99.51.163 asia.x13bcd.mining-dutch.nl
139.99.51.163 asia.x16r.mining-dutch.nl
139.99.51.163 asia.x16s.mining-dutch.nl
139.99.51.163 asia.x17.mining-dutch.nl
139.99.51.163 asia.yescrypt.mining-dutch.nl
139.99.51.163 asia.yescryptr16.mining-dutch.nl
139.99.51.163 asia.yescryptr32.mining-dutch.nl
139.99.51.163 asia.yespower.mining-dutch.nl
139.99.51.163 asia.yespowerr16.mining-dutch.nl
34.102.152.90 asia1-beam.flypool.org
54.36.60.204 asia1-etc.ethermine.org
103.153.74.103 asia1.ethermine.ga
172.65.215.159 asia1.ethpool.org
172.65.222.14 aspac-etc.hiveon.net
51.79.159.104 aspac1-etc.hiveon.net
34.90.112.127 aspac1-eth.hiveon.net
198.50.168.213 astralhash.eu.mine.zpool.ca
198.50.168.213 astralhash.na.mine.zpool.ca
167.114.169.117 atheios.wattpool.net
139.180.175.143 au-01.miningrigrentals.com
8.129.12.192 axe.antpool.com
8.218.141.33 b4c.f2pool.com
185.178.208.145 baikalmine.com
54.241.203.241 bbc01.bbcpool.io
51.91.29.107 bbr.luckypool.io
144.76.26.181 bbscoin.my-mining-pool.de
198.50.168.213 bcd.eu.mine.zpool.ca
198.50.168.213 bcd.jp.mine.zpool.ca
198.50.168.213 bcd.na.mine.zpool.ca
198.50.168.213 bcd.sea.mine.zpool.ca
18.193.26.129 bch.ukrpool.com
172.65.249.47 bch.viabtc.com
172.65.251.107 bch.viabtc.top
54.37.81.148 bci.suprnova.cc
136.243.102.154 bcn.pool.minergate.com
203.107.32.162 bcx.vvpool.com
206.189.151.227 beam-asia.leafpool.com
142.93.134.95 beam-eu.leafpool.com
104.217.251.70 beam-us.leafpool.com
162.19.139.120 beam.2miners.com
