# Resolved pools list by minerstat for msOS
# Updated Sun May 12 08:00:32 UTC 2024
104.26.4.192 2miners.com
95.217.197.180 51pool.online
162.19.139.120 ae.2miners.com
188.165.198.144 aeon.miner.rocks
54.161.222.85 aeon.minercountry.com
188.165.24.209 aergo.eu.mine.zpool.ca
198.50.168.213 aergo.jp.mine.zpool.ca
198.50.168.213 aergo.na.mine.zpool.ca
91.134.179.251 ahamay.net
37.26.136.250 aikapool.com
104.21.63.177 aionmine.org
162.19.139.120 aka.2miners.com
192.99.244.230 akroma.wattpool.net
51.79.251.11 allium.asia.mine.zergpool.com
188.165.24.209 allium.eu.mine.zpool.ca
198.50.168.213 allium.jp.mine.zpool.ca
103.249.70.7 allium.mine.zergpool.com
198.50.168.213 allium.na.mine.zpool.ca
15.235.43.55 americas.equihash.mining-dutch.nl
15.235.43.55 americas.groestl.mining-dutch.nl
15.235.43.55 americas.kawpow.mining-dutch.nl
15.235.43.55 americas.keccak.mining-dutch.nl
15.235.43.55 americas.lyra2rev2.mining-dutch.nl
15.235.43.55 americas.myrgro.mining-dutch.nl
15.235.43.55 americas.neoscrypt.mining-dutch.nl
15.235.43.55 americas.qubit.mining-dutch.nl
15.235.43.55 americas.scrypt.mining-dutch.nl
15.235.43.55 americas.sha256.mining-dutch.nl
15.235.43.55 americas.skein.mining-dutch.nl
15.235.43.55 americas.tribus.mining-dutch.nl
15.235.43.55 americas.x11.mining-dutch.nl
15.235.43.55 americas.x11gost.mining-dutch.nl
15.235.43.55 americas.yescrypt.mining-dutch.nl
15.235.43.55 americas.yescryptr16.mining-dutch.nl
15.235.43.55 americas.yescryptr32.mining-dutch.nl
15.235.43.55 americas.yespower.mining-dutch.nl
15.235.43.55 americas.yespowerr16.mining-dutch.nl
162.19.139.181 anon.2miners.com
54.36.51.140 anon.altpool.pro
172.104.181.35 ap-01.miningrigrentals.com
13.251.164.100 ap-nodes.mainnet.beam.mw
139.99.123.225 ap.luckpool.net
18.193.115.229 ap.nimpool.io
103.224.182.238 api.bsod.pw
198.50.168.213 arctichash.na.mine.zpool.ca
3.19.116.195 argon2.minercountry.com
51.79.251.11 argon2d-dyn.asia.mine.zergpool.com
141.95.55.97 argon2d-dyn.eu.mine.zergpool.com
188.165.24.209 argon2d-dyn.eu.mine.zpool.ca
198.50.168.213 argon2d-dyn.jp.mine.zpool.ca
103.249.70.7 argon2d-dyn.mine.zergpool.com
149.56.111.148 argon2d-dyn.na.mine.zergpool.com
198.50.168.213 argon2d-dyn.na.mine.zpool.ca
51.79.251.11 argon2d250.asia.mine.zergpool.com
141.95.55.97 argon2d250.eu.mine.zergpool.com
103.249.70.7 argon2d250.mine.zergpool.com
51.79.251.11 argon2d4096.asia.mine.zergpool.com
141.95.55.97 argon2d4096.eu.mine.zergpool.com
188.165.24.209 argon2d4096.eu.mine.zpool.ca
103.249.70.7 argon2d4096.mine.zergpool.com
198.50.168.213 argon2d4096.na.mine.zpool.ca
188.165.24.209 argon2d500.eu.mine.zpool.ca
198.50.168.213 argon2d500.na.mine.zpool.ca
108.61.205.5 arms01.p2poolmining.us
82.69.122.59 arq.pool.gntl.co.uk
198.100.144.29 arrow.dapool.io
35.202.11.182 arrr-eu.luxor.tech
35.202.11.182 arrr-us.luxor.tech
34.107.188.7 arrr.luxor.tech
204.11.56.48 arw.snowmining.com
52.223.53.16 as1-zil.shardpool.io
162.19.139.120 asia-ae.2miners.com
15.235.212.90 asia-beam.2miners.com
15.235.212.89 asia-btg.2miners.com
15.235.212.90 asia-ckb.2miners.com
15.235.212.91 asia-etc.2miners.com
162.19.139.184 asia-grin.2miners.com
91.195.240.117 asia-pool.raskul.com
162.19.139.120 asia-solo-ae.2miners.com
15.235.212.90 asia-solo-btg.2miners.com
15.235.212.91 asia-solo-etc.2miners.com
15.235.212.89 asia-zec.2miners.com
168.119.146.54 asia.aionpool.tech
103.224.182.238 asia.bsod.pw
54.157.24.8 asia.dbixmine.pro
148.113.0.129 asia.equihash.mining-dutch.nl
15.235.160.187 asia.equihub.pro
95.179.161.251 asia.ethash-hub.miningpoolhub.com
103.224.212.214 asia.expmine.pro
104.238.150.114 asia.frostypool.com
148.113.0.129 asia.groestl.mining-dutch.nl
95.179.161.251 asia.kawpow-hub.miningpoolhub.com
148.113.0.129 asia.keccak.mining-dutch.nl
148.113.0.129 asia.lyra2rev2.mining-dutch.nl
194.233.90.132 asia.mecrypto.club
15.197.192.55 asia.miner.tokyo
148.113.0.129 asia.myrgro.mining-dutch.nl
148.113.0.129 asia.neoscrypt.mining-dutch.nl
148.113.0.129 asia.qubit.mining-dutch.nl
108.61.78.226 asia.randomx-hub.miningpoolhub.com
130.162.153.207 asia.ravenminer.com
148.113.0.129 asia.scrypt.mining-dutch.nl
148.113.0.129 asia.sha256.mining-dutch.nl
139.162.81.190 asia.siamining.com
148.113.0.129 asia.skein.mining-dutch.nl
148.113.0.129 asia.tribus.mining-dutch.nl
148.113.0.129 asia.x11.mining-dutch.nl
